locusId,sysName,gene,desc,"D,L-Lactate (C)",D-Alanine (N),D-Fructose (C),D-Galactose (C),D-Galacturonic Acid (C),D-Galacturonic Acid (C) M9,D-Galacturonic Acid (C) MOPS,D-Gluconic Acid (C),D-Glucosamine Hydrochloride (C),D-Glucose (C),D-Glucose (C) M9,D-Glucose (C) MOPS,D-Glucose-6-Phosphate (C),D-Glucuronic Acid (C),D-Lactate (C),D-Maltose (C),D-Mannitol (C),D-Mannose (C),D-Ribose (C),D-Serine (C),D-Serine (N),D-Sorbitol (C),D-Trehalose (C),D-Xylose (C),Fumarate (C),Gly-DL-Asp (N),Gly-Glu (N),Glycerol (C),Glycine (N),Glycolic Acid (C),L-Alanine (N),L-Arginine (N),L-Asparagine (N),L-Aspartic Acid (N),L-Fucose (C),L-Glutamine (N),L-Malic (C),L-Serine (N),LB,NAG (C),Putrescine (N),Sucrose (C),a-Ketoglutaric (C),acetate (C),casaminos (C),casaminos (N),pyruvate (C),succinate (C)
16128,b2020,hisD,histidinol dehydrogenase (NCBI),-5.2612397855056,-5.810116146319951,-4.120211983417005,-4.55415973660707,-5.9517485572549855,-5.18411843391529,-0.13587015179669396,-4.512139489346505,-5.09624727687933,-4.396789501603475,-4.91824117395879,-0.13712007537365845,-6.047670937094955,-6.854144469964455,-6.745388942058215,-4.751082500011395,-6.710482172276645,-5.54309714918116,-5.514768183703181,-4.16046438143842,-5.38480318989084,-4.579993484790155,-5.376023651493124,-5.08814540851545,-2.41562896615399,-6.63457815556325,-4.79508370465334,-2.983205444101465,-5.302186610424934,-4.12911640181932,-4.113388183937525,-4.7959891720722805,-4.698502076831655,-5.437648151556485,-5.23359362144719,-5.18239493708424,-5.3492492406030046,-4.47569056976278,0.0365217192574759,-3.976862180849355,-5.093229267360416,-4.529360782749965,-6.0932807904620745,-5.185753948955555,-0.07425790263495155,-0.07430134990614065,-4.057030107083145,-4.741518459578796
16129,b2021,hisC,histidinol-phosphate aminotransferase (NCBI),-4.833635032088755,-5.37854394540777,-3.851636322833345,-4.62966159635629,-5.496718130105975,-4.92604574292062,0.11051953471898329,-4.4372272775286,-4.37005848151817,-3.123085677405775,-3.52015567803184,0.3249610689616704,-5.57256609548152,-5.598516984742989,-5.5565202909654445,-3.6987336386934597,-5.988049345322015,-4.65053023017159,-5.175637235260226,-4.571089604464705,-4.8351148491024,-5.390274881519424,-4.2413634649640795,-5.166881729518741,-2.8266889890381,-5.743567189588145,-3.9966669075462153,-2.470932322857935,-5.098256467390825,-4.362043197477265,-4.1021963452514605,-3.7380687190549797,-4.66391660911823,-4.444523111185865,-4.69375173073346,-3.24156225947023,-4.95633139533101,-4.619421874298725,-0.1180103576693,-3.918960342969215,-5.0370150397819,-4.518954133681995,-4.708620166442765,-5.530653365121265,0.0518905939459553,0.1310217423472727,-4.225230766807661,-4.65191360224698
16130,b2022,hisB,imidazoleglycerolphosphate dehydratase and histidinol-phosphate phosphatase (VIMSS),-5.56697574623972,-4.961960941384745,-4.459171581272425,-5.4561345810763555,-5.9514155604646195,-4.33486866561227,-0.10818527331825925,-4.70315676833123,-5.298145716861345,-4.053349299393175,-4.43616449449551,-0.10717015083649475,-6.0242451037361,-5.331060904917865,-5.7664973467465455,-4.584590268249495,-6.268599498403095,-5.10626385681744,-4.85858243308139,-4.339314061668736,-5.604340496805349,-4.05766940390134,-5.028576409764275,-4.785784893865295,-2.79130606950798,-6.36622738182292,-4.06293045329647,-2.6990401524733,-5.398121520949035,-4.195280981244005,-4.686523072957906,-4.308775464505535,-5.29688589640806,-5.095969921701055,-4.80928941558345,-4.643784101358435,-4.696144840835045,-4.966050972304935,-0.302804517046304,-4.93848326005193,-5.06756377845328,-4.633193571275035,-5.1073477901825,-5.3805110767293645,-0.0617912536089302,0.0287187083780031,-4.888313124460895,-4.91621657432589
16131,b2023,hisH,imidazole glycerol phosphate synthase subunit HisH (NCBI),-3.59577723736271,-5.6020700681591755,-4.181831996796615,-4.74634576983377,-5.7279139026307355,-4.39866029362951,-0.0365445615497245,-4.5509610052644405,-6.097906889963021,-3.5444836579713446,-3.95337291734537,0.430078659174212,-6.347298099904905,-5.86188457798872,-3.997729279137165,-4.75547165709055,-5.89822014722799,-4.914404246470715,-4.39652852190917,-4.17255793763411,-5.054241302402231,-5.033846205149205,-3.4454605339091753,-4.209802929305425,-2.72261112373698,-6.07920048008791,-4.24185299779842,-2.55590677353179,-5.967023517767525,-4.129595971858405,-5.64336356008688,-4.09688915573042,-5.041181729330975,-5.2868085224485,-4.1078271852285155,-4.367354867650845,-4.16282626131498,-4.6465534341117145,0.152861810371751,-4.302173800012035,-4.830699099052135,-3.7398350929067954,-4.200451824705335,-3.98533598819801,0.251341505260354,0.07532079744680195,-3.16971937350458,-3.984766241098575
16132,b2024,hisA,N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'- phosphoribosyl)-4-imidazolecarboxamide isomerase (VIMSS),-4.1739726471632,-4.660832766829261,-3.9299057702537645,-4.32200973460427,-3.79606998425779,-3.92186708771903,0.032046917495365305,-4.089455453751645,-4.521981974362965,-3.491667533208,-3.94498983429171,0.2341166321825788,-5.110610191626825,-4.452204122992445,-4.2263518742511454,-3.68767018005911,-5.085982583010701,-3.6742582739192304,-4.16779265458968,-3.1201743607055397,-3.75100507230525,-3.5395422502055203,-3.622487280656705,-4.442192940451425,-3.30389803687391,-4.902507614630165,-3.104494353608855,-3.05744947383631,-4.23903799084779,-4.01739705082472,-3.3268994549877,-3.58197034534078,-5.041025936696405,-4.59785068201971,-4.78367376725872,-3.7674749479254848,-3.5587894415262102,-3.986556169277625,0.582057787718315,-3.611933903523145,-4.402811931220545,-3.862251383448165,-4.897126360194895,-4.00672729099159,0.345441045967351,-0.09916452202492754,-4.276076912900365,-3.676320283407125
16133,b2025,hisF,imidazole glycerol phosphate synthase subunit HisF (NCBI),-4.529145272591995,-5.83888041792739,-4.68387813784056,-5.728608019385245,-6.66456300980253,-5.50734818806331,-0.1681478514942739,-4.61766360694918,-5.160603791068465,-3.559292805678895,-4.27863767534867,0.11218567872682245,-6.40765477643256,-5.88578293366097,-6.33630138797553,-4.08903935390438,-6.02409676604773,-5.35327079724689,-4.753138497174765,-5.564050298945265,-5.579865728675535,-4.631052652790965,-4.49917452179842,-5.812221027068755,-3.17676487889477,-5.80984658672025,-4.4099465432469955,-2.424246717980055,-5.455516710852271,-4.158715654607795,-4.475132787291955,-3.791448911071955,-6.001551161129125,-4.24261444886203,-5.18566518197826,-4.62869599340654,-4.65544754738898,-4.878254741157675,-0.862780149691939,-4.14371955495967,-4.920059887766135,-4.26736378765599,-5.347121470704835,-5.66780211214974,-0.025409060697745303,0.0977440450864991,-4.993392991409995,-4.916131682213445
16134,b2026,hisI,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein (NCBI),-4.143835426256765,-5.369076039534935,-3.17691769289282,-3.36982306145073,-5.450341268660795,-4.74977464623574,-0.030350638847532002,-3.25294992354269,-4.696096457557515,-3.059792553073115,-3.77638875283311,-0.1806196597916955,-5.956890625016135,-5.671367407955745,-4.08424667894302,-3.476371486321495,-5.221004051922344,-3.2530281618936847,-3.7935383723542353,-3.56262924228019,-4.58411933050368,-3.2111049370433546,-3.560027247376635,-3.64433966118635,-2.43565272672982,-6.3960054586327395,-2.609242460508335,-3.5597803406013453,-4.445312392235435,-2.194808067791945,-2.291586780389125,0.10575423669035951,-4.5256481499797,-4.449689512409705,-3.68682831486759,-3.08168556638024,-4.2202093064053,-2.84979431405392,-0.0712161728779216,-3.087841901064695,-4.8463304064563655,-3.870940853894215,-4.086621640790259,-3.53597465010166,0.0587807980393794,-0.0180470205199525,-2.86552768630436,-4.214396290409169
16416,b2309,hisJ,histidine/lysine/arginine/ornithine transporter subunit (NCBI),-0.10812165070605499,-0.06156310713005475,-0.08904330394581239,-0.287581772593925,-0.2851919592292105,-0.157561500890969,-0.288148474682515,-0.0005448052945958987,-0.0332872692475165,-0.1248725633214062,0.0531425498648098,-0.31960558277351003,0.08099168068315005,0.046591344121708046,0.0943184719910499,-0.0927309504798817,-0.275697926199108,-0.29215550904617,-0.172849957674137,-0.4701355459527085,-0.018438412519828,0.182297473397395,-0.41443688740516504,0.043878635553877644,0.527815582142818,-0.1556696347072025,-0.15361134749358699,0.1821208268588005,0.10107883548180185,-0.01708381891661649,-0.365725403126478,0.3449369237620681,-0.17667757545593965,-0.23438901705418153,-0.22315990336281083,-0.2890631944665026,0.23263441870439805,-0.200541891114036,-0.171368663692993,0.12195473999915894,-0.08045372458441441,-0.07331540446237611,-0.1372824328910605,-0.13816125213713115,-0.3482335861699525,-0.2830220929857141,-0.2346127435247559,-0.0335591417711015
16436,b2329,aroC,chorismate synthase (NCBI),-4.333704122880166,-4.85962114648705,-4.854225099996755,-4.68989688821433,-5.238907420384114,-3.8623092411006,-0.15232758246719702,-5.197992302853475,-4.61810147058907,-4.78262139144379,-3.71610512756318,-0.168069225741929,-4.9010859152569655,-4.910085936425535,-4.556501448724835,-4.96791944492736,-4.945415421180265,-4.55152458083078,-4.45870082503564,-3.315533503596495,-4.475109127268585,-4.666057113803371,-5.07774594482189,-5.148103499457525,-1.83585435305848,-5.03088492160144,-4.400264037098635,-4.81364207915375,-4.497043909364845,-4.0852551523428,-4.326409322034335,-2.766500215515755,-4.7301045070024745,-4.822426052796795,-3.8654833670921196,-4.81512745682869,-4.044361767169805,-4.012299155325315,-0.36335407137682,-4.532074145519015,-4.350643858813835,-4.63245009035703,-4.405980516038531,-4.743834946420391,-3.15305773831549,-2.731628098463815,-3.998181881419725,-4.11630846276895
16513,b2414,cysK,"cysteine synthase A, O-acetylserine sulfhydrolase A subunit (NCBI)",-5.05790625628354,-4.697091676633225,-4.11598074163158,-4.759589121558671,-5.921955916701455,-5.00928687122212,-0.2494862809748645,-4.560008749264885,-5.9242524617318395,-3.532560713080465,-4.6595634028904,-0.03671411669118895,-5.58485977669115,-5.094726626825815,-5.256773002223475,-4.4594992666238245,-6.040709929871825,-4.44797182421261,-5.1405319548678,-0.83134933389858,-3.538720766418875,-4.42964365760277,-4.787013219557645,-4.508199211532155,-2.70322152107024,-5.241193830023455,-2.68991964434964,-3.942931475591665,-2.283680897090345,-4.547870709405625,-2.4135449922845753,-2.223292759207165,-4.94695420057921,-4.4185443917594895,-4.905174517653675,-3.710702489360925,-5.337501356268035,-2.8142117444898602,0.133021962961028,-3.828910893064505,-4.919326646993994,-4.959822115232325,-5.915078852418255,-5.3934292843551255,-0.398257279828532,-0.47887201553929803,-3.473318972854555,-4.328539102923864
16694,b2599,pheA,fused chorismate mutase P/prephenate dehydratase (NCBI),-3.3503888913514652,-3.3593947312523103,-3.3142393043563247,-3.144307147375205,-2.8995995352303403,-2.53516806148515,0.07912569486228796,-2.899739731732585,-4.094987896116525,-3.46903350152395,-2.74577449941216,0.20896376847476467,-3.177604106827575,-3.28131185652996,-3.85084333002058,-3.0048962166971798,-3.232800646517795,-2.64419179358696,-4.12843941106572,-0.747186493142169,-1.8797706633255151,-3.358420669552265,-3.910485426167225,-3.6042110948376553,-0.387215504354626,-3.0274945299982203,-1.9625968240979401,-2.47721738111493,-1.9605279715078852,-2.158075424589935,-2.32931505792941,-1.3212545585496,-2.97882589676906,-2.12668834477709,-2.4937236005244303,-3.412758765080815,-2.6225881748201454,-1.50448025390725,-0.0297681167266185,-3.096928375813905,-2.99809622807597,-2.94345555116466,-0.906872092826818,-3.9780078626622,0.0725490559814855,0.11570169886451606,-2.034876294410445,-1.5147010483253949
16695,b2600,tyrA,fused chorismate mutase T/prephenate dehydrogenase (NCBI),-4.820758146874445,-4.55167905388401,-4.276150852309295,-3.953908983226425,-4.14213022636664,-4.50584111403478,0.1511015342381202,-4.175456468262955,-3.945449220983345,-4.965222933695885,-3.49592335656945,0.2908648715596145,-4.38079803289932,-1.718982487429265,-5.5390615530742195,-4.5712670909736,-4.2731085059411,-4.33497708586996,-4.19391848794048,-2.728360936686705,-3.55130179270946,-4.43318169005437,-4.008758459466041,-4.149880837608926,-2.13279305600642,-5.140213402256495,-2.869739603994355,-3.8914447054711845,-3.97482807280522,-2.92474610668841,-3.08287022650839,-1.60425250808533,-4.06541865824806,-4.06368909231887,-2.86623408025128,-3.90508315256612,-4.081629132494245,-2.53166780928034,0.271489869915295,-3.84916530928985,-4.538580533727125,-4.3737679008480255,-4.576815902579895,-5.1462581556115445,-0.03878467959739765,0.10380916051295985,-3.7049425958569353,-3.723577537314125
16696,b2601,aroF,"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible (NCBI)",-1.69430872544704,-0.9945475419442369,-0.996199850614787,-0.885578456858116,-1.12571704757283,-0.969648104729157,-0.0507316759027665,-0.9273001925809365,-1.280795919278055,-0.7606973590738665,-0.764271627907025,-0.01894448516150505,-0.8050774216104045,-0.6539235736324975,-2.261187882789555,-1.082697581713366,-0.758123967633437,-0.6592407914401615,-1.476170561298415,-0.3363035783553965,-0.607077829399287,-0.7163352412321691,-1.1103600127328326,-0.9047112829281365,-1.48039106885791,-0.8416816597453475,-0.768695538984576,-0.918337272076438,-0.8727068014986781,-1.641596153783425,-0.509469112636879,-0.1274584543030128,-0.691639022713634,-0.623861880797714,-0.9955600622352885,-0.5486831480760195,-1.38029379954533,-0.5445322309368035,-0.362158416889488,-0.9242031367522965,-0.907315596530794,-0.892541711424709,-1.118018263880245,-2.32067670099986,-0.1423411607787965,0.0111414441636736,-1.3293429523740299,-0.9441976528369991
16899,b2818,argA,N-acetylglutamate synthase (NCBI),-2.60740081927278,-4.49545394703444,-2.89868229391623,-3.966363853114765,-3.99908073793738,-4.52927824732868,-0.0705617817366673,-2.613734406054085,-3.9046698062957903,-3.24333712819227,-3.40578808776959,-0.00146443790279945,-4.883783306445555,-3.92303675945218,-3.5726720157486147,-3.1835314123305647,-4.5827027132272296,-2.993664298232875,-3.53551469637995,-2.026367565467585,-3.539131666517,-3.536543955513125,-3.0201170704679,-3.02913160692995,-1.76252506604842,-6.2856470278442,-0.6585389692188225,-3.05137620723848,-1.8749603492401752,-5.00345459638962,-1.247315905490325,-0.46250743935887295,-3.5370862838211297,-4.03468729213325,-2.7789059806873997,-2.494916522457245,-3.67944027824427,-1.62640118597171,0.230375993699149,-3.1220753027102397,-4.2654205880647655,-3.0502719813499253,-2.822033621483555,-4.05807217003205,-0.249676812447956,-0.1078979273747813,-2.19777907826048,-3.72855675192008
16919,b2838,lysA,"diaminopimelate decarboxylase, PLP-binding (NCBI)",-5.215986001625485,-5.537011119055795,-5.597824501240605,-5.108964626308845,-5.614059236369945,-4.52190610870028,-0.2940467087288945,-5.373028790153575,-6.043218629558045,-4.816622642947175,-4.07066641125486,-0.28593545683366095,-5.873074601226725,-6.013562823447695,-5.47858389367896,-5.622363742661915,-6.045451086828065,-5.492294831729845,-4.91600442776838,-4.436610209601531,-4.363369331607155,-5.1832191748438845,-5.714292890856035,-5.170427975679544,-1.92562795323308,-5.959734215760285,-5.81979676075297,-5.4191622280165,-5.399554458070095,-4.01683994494419,-2.8476530033187,-4.51964475124457,-5.45813441718594,-5.63929447378409,-4.357280750658585,-5.857317572561255,-4.81844655596505,-4.647340387868169,-0.0151730070204676,-5.2897001061456645,-4.15083563686307,-5.5050706933687,-4.9587108680467455,-5.12713256135552,0.0320276038816659,0.055014445016679195,-4.227744037188939,-4.7505718747377
16992,b2913,serA,D-3-phosphoglycerate dehydrogenase (NCBI),-5.03375857898083,-5.28898337022142,-4.896659635938775,-4.664472591406435,-5.271407162557701,-4.09870645510253,-0.688328348722272,-4.829147061541505,-4.87429026482554,-4.96593625576899,-4.08776238114431,-0.033710156733504,-5.365811347871965,-5.63641640040499,-5.391991978311625,-4.899433024806649,-5.334155930109031,-5.09097155059876,-4.43225253064081,-3.585221677488315,-4.732415577231695,-4.89040357997495,-4.7554641776191,-4.998809180735504,-2.35513307993867,-0.27098950179887904,-0.1343800475010255,-3.525646119528405,-0.02649676076795935,-3.73420392876033,-4.6556398927986695,-3.19200647842938,-5.14064810651083,-4.45448984280484,-4.969236629991465,-4.7039538940861,-4.748809078697246,-0.01087851827822615,-0.0459565107419322,-4.859366952837175,-4.20388796258834,-4.954582472793906,-4.870236428003195,-4.678556026685255,0.005484866815135651,-1.59328814451891,-4.911519311024505,-4.542284717960875
