locus_tag,gene,glucose_NH4,glucose_glutamine,glucose_glutamate,glucose_ornithine,glucose_adenine,glucose_malate_NH4,glucose_nitrate,malate_NH4,pyruvate_NH4,fructose_NH4,glycerol_NH4,gluconate_NH4,succinate_glutamate,Casette,n_grows_01,rank_01,n_grows_05,rank_05,n_grows_1,rank_1
BSU13180,metE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,79.0,0.0,61.0,0.0,60.0
BSU17460,glnA,0.0,0.149107835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,7.6923076923076925,64.0,0.0,62.0,0.0,61.0
BSU18000,citB,0.0,0.815479473,1.02032631,1.046138405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318442907,Kan,30.76923076923077,27.0,23.076923076923077,7.0,15.384615384615385,4.0
BSU18450,gltA,0.0,0.768003479,1.094571261,0.929555004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977803752,Kan,30.76923076923077,28.0,30.76923076923077,2.0,7.6923076923076925,8.0
BSU21770,ilvA,0.103531232,0.084719141,0.0,0.0,0.0,0.0,0.0,0.275359946,0.20984467,0.0,0.0,0.09960265,0.0,Kan,23.076923076923077,33.0,0.0,63.0,0.0,62.0
BSU21870,ilvD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,80.0,0.0,64.0,0.0,63.0
BSU21910,metA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,81.0,0.0,65.0,0.0,64.0
BSU22370,aspB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106260738,0.0,0.0,0.0,0.0,0.0,Kan,7.6923076923076925,65.0,0.0,66.0,0.0,65.0
BSU22610,tyrA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,82.0,0.0,67.0,0.0,66.0
BSU22620,hisC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,83.0,0.0,68.0,0.0,67.0
BSU22630,trpA,0.067850878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,84.0,0.0,69.0,0.0,68.0
BSU22700,aroB,0.0,0.0,0.162131552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,7.6923076923076925,66.0,0.0,70.0,0.0,69.0
BSU23070,serA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,85.0,0.0,71.0,0.0,70.0
BSU23080,aroC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,86.0,0.0,72.0,0.0,71.0
BSU23380,lysA,0.13234287,0.14394971,0.065888186,0.084313694,0.260834286,0.195929173,0.149601483,0.234059867,0.189872912,0.050188244,0.116997014,0.128659209,0.0,Kan,69.23076923076923,7.0,0.0,73.0,0.0,72.0
BSU25660,aroD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,87.0,0.0,74.0,0.0,73.0
BSU27900,pheA,0.0,0.0,0.094402287,0.0,0.0,0.239159258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,7.6923076923076925,67.0,0.0,75.0,0.0,74.0
BSU28250,leuD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120079467,0.0,0.0,0.0,0.0,Kan,7.6923076923076925,68.0,0.0,76.0,0.0,75.0
BSU28260,leuC,0.062035431,0.056739917,0.0,0.0,0.0,0.0,0.0,0.184799355,0.19625141,0.0,0.0,0.092611802,0.0,Kan,15.384615384615385,45.0,0.0,77.0,0.0,76.0
BSU28270,leuB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152064641,0.156949035,0.0,0.0,0.0,0.0,Kan,15.384615384615385,46.0,0.0,78.0,0.0,77.0
BSU28280,leuA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148425983,0.0,0.0,0.0,0.0,Kan,7.6923076923076925,69.0,0.0,79.0,0.0,78.0
BSU28290,ilvC,0.019631969,0.0,0.091924636,0.0,0.0,0.0,0.0,0.108382155,0.0,0.0,0.0,0.0,0.0,Kan,7.6923076923076925,70.0,0.0,80.0,0.0,79.0
BSU28310,ilvB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083571258,0.0,0.0,0.0,0.0,Kan,0.0,88.0,0.0,81.0,0.0,80.0
BSU29130,icd,0.0,0.774584024,0.729769269,0.90813965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203179877,Kan,30.76923076923077,29.0,23.076923076923077,8.0,0.0,81.0
BSU29440,argH,0.0,0.0,0.0,0.0,0.0,0.197754273,0.0,0.163205359,0.0,0.0,0.0,0.0,0.0,Kan,15.384615384615385,47.0,0.0,82.0,0.0,82.0
BSU29450,argG,0.119515662,0.050253625,0.0,0.0,0.0,0.103232965,0.0,0.201845949,0.0,0.0,0.0,0.0,0.0,Kan,23.076923076923077,34.0,0.0,83.0,0.0,83.0
BSU29620,hisJ,0.183695605,0.218272479,0.227958487,0.135435515,0.241822704,0.0,0.099903554,0.265174476,0.205607126,0.137922479,0.110093625,0.145927078,0.19255365,Kan,84.61538461538461,4.0,0.0,84.0,0.0,84.0
BSU29750,aroA,0.0,0.0,0.133453237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,7.6923076923076925,71.0,0.0,85.0,0.0,85.0
BSU32240,thrB,0.126107786,0.061864777,0.099929723,0.0,0.0,0.0,0.0,0.110224711,0.174140158,0.0,0.0,0.173704308,0.0,Kan,30.76923076923077,30.0,0.0,86.0,0.0,86.0
BSU32250,thrC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09818034,0.0,0.0,0.0,0.0,0.0,Kan,0.0,89.0,0.0,87.0,0.0,87.0
BSU32260,hom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,90.0,0.0,88.0,0.0,88.0
BSU34860,hisI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,91.0,0.0,89.0,0.0,89.0
BSU34870,hisF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,92.0,0.0,90.0,0.0,90.0
BSU34880,hisA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,93.0,0.0,91.0,0.0,91.0
BSU34890,hisH,0.18234191,0.0,0.0,0.0,0.0,0.256077684,0.0,0.346850705,0.219164701,0.124690601,0.119711719,0.155062004,0.0,Kan,53.84615384615385,8.0,0.0,92.0,0.0,92.0
BSU34900,hisB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,94.0,0.0,93.0,0.0,93.0
BSU34910,hisD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,95.0,0.0,94.0,0.0,94.0
BSU34920,hisG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,96.0,0.0,95.0,0.0,95.0
BSU36900,glyA,0.05271377,0.0,0.0,0.0,0.137662846,0.0,0.0,0.0,0.0,0.046468253,0.0,0.0,0.0,Kan,7.6923076923076925,72.0,0.0,96.0,0.0,96.0
