B-numbers,gene,Galactose,L-alanine,D-alanine,Mannose,Glucosamine,Thymidine,Adenosine,Saccharate,Acetate,α-ketoglutarate,Malate,Succinate,Fumarate,Ribose,Fucose,Glycerol,Lactate,Oxaloacetate,Pyruvate,Galacturonate,Maltose,Fructose,Trehalose,Mannitol,Sorbitol,Glucuronate,Gluconate,Xylose,Glucose,N-acetyl Glucosamine,n_grows_01,rank_01,n_grows_05,rank_05,n_grows_1,rank_1
b2026,hisI,0.04517623008403283,0.024744287666212852,0.028057903568895624,0.0021227558331608186,0.0013778458974118817,0.08377839047228422,0.03451559892141635,0.020913179680209497,0.023287788657843395,0.004534257122942858,0.027101352786683353,0.003997597184828368,0.0504673012528397,0.009511084371689982,0.004049037319290816,0.008706111150232967,0.03399055877988175,0.007639672770078638,0.012685551411810573,0.027292525667888014,0.016646486815119536,0.09156724572869258,0.00843757621742755,0.0026099470843000887,0.004829891645532209,0.0,0.09273338790035732,0.0100020048984545,0.011098338633646041,0.05580864417785733,0.0,44.0,0.0,35.0,0.0,32.0
b1260,trpA,0.0034434714931473463,0.013115195801208748,0.025199690003707587,0.0032883368301660078,0.016097126261716378,0.12674815856139968,0.027996915507807953,0.013021735579744583,0.029700136757629777,0.0,0.02133340273052505,0.000456434839036844,0.045848104785276844,0.0,0.0,0.0025482980026528463,0.025607844906340375,0.009435784997850385,0.00771571538252451,0.010374893431168245,0.013996497738239968,0.0671179048512207,0.002478961077062948,0.0,0.010331761343433667,0.0028657370896740045,0.027860750911572075,0.0,0.00389688950887823,0.017156366861128428,3.3333333333333335,37.0,0.0,36.0,0.0,33.0
b0908,aroA,0.012544889720987782,0.0,0.0400602977120401,0.0008700198561387289,0.029787960856021076,0.1631910172513778,0.01966191225022844,0.0,0.02634706238014826,0.012370093385524824,0.008251939545298865,0.012084464364082045,0.01676442381913209,0.005527423057967831,0.0030284690032230826,0.005130698315338115,0.017743525746662384,0.0,0.0005156605229538218,0.005963052805860605,0.0,0.06312829760408241,0.0023502526612479446,0.02324218531879306,0.012483834819326193,0.0015214924786718308,0.030632104172984412,0.0050459510648374,0.000767201422707615,0.028234968297806026,3.3333333333333335,38.0,0.0,37.0,0.0,34.0
b0072,leuC,0.0017499419617844915,0.01989781152371602,0.0032337437313822376,0.00802285425697249,0.04810287810818036,0.2117606862025561,0.007261794865042423,0.001956787625256406,0.0013039526379580132,0.013644225824131875,0.010352518431173161,0.005203399692272105,0.0,0.0073639394710836754,0.0020413991457859464,0.010195750596394436,0.0049328755738543145,0.007258443963214969,0.002328319273130763,0.0010741857337347976,0.004546778768348956,0.007646890719499588,0.0,0.0128268434215614,0.0,0.0017821523581202255,0.0,6.731067780893384e-05,0.004296993346439051,0.0034504973565580785,3.3333333333333335,39.0,0.0,38.0,0.0,35.0
b2021,hisC,0.0031959535003783343,0.01926004445713483,0.0,0.012830443193467394,0.00033543711556748083,0.14532292325770257,0.05235989675734641,0.014328561273953029,0.01799441860378699,0.0,0.03125173613376133,0.013571011058273776,0.023482206032363513,0.024069633085172907,0.0009414418840411409,0.005021176741528427,0.01016833978792337,0.001960256580538405,0.008274544960322507,0.004040455278110019,0.0017430588332467618,0.030122498028032272,0.0,0.004638114055088591,0.00437531367621265,0.0016457001611283654,0.03464986725488912,0.005652434199022253,0.0,0.03685390839151383,3.3333333333333335,40.0,0.0,39.0,0.0,36.0
b1693,aroD,0.010755293045835414,0.009971908149972326,0.011964312923966564,0.00557918383635384,0.0,0.19336494633787882,0.04280029935813054,0.011924192355719645,0.019762910123150505,0.023569772104021742,0.024939719163872484,0.01381922242494643,0.028293278915145607,0.023854001861424685,0.014304895271348044,0.009622735442243489,0.01170077439488885,0.0030614958363987706,0.0030558763351288027,0.007360002900199124,0.010222421231900843,0.05003547570786813,0.0,0.012242344921353357,0.0049150956947456225,0.0,0.009463195617798445,0.010060813843066951,0.0007714418533651203,0.036967325782459565,3.3333333333333335,41.0,0.0,40.0,0.0,37.0
b2020,hisD,0.14226134338785848,0.107430567354292,0.009839863531792345,0.17395948782368933,0.0006577661845654579,0.18208105549423223,0.25840194296926494,0.01491215697230576,0.254222991047793,0.0822031194315178,0.010497303625243887,0.10815931793659676,0.27198119000347126,0.04587794234474071,0.007606674518810554,0.0031526213883439273,0.5744715750757626,0.0038057777858357907,0.2311504380182118,0.003302668189850424,0.011970597827334983,0.06387825830716039,0.0,0.26157537505476547,0.0,0.0020185489866165213,0.043276704208337756,0.0,0.0,0.05461244108266812,36.666666666666664,9.0,3.3333333333333335,5.0,0.0,38.0
b3772,ilvA,0.19662084180842837,0.06583732381312353,0.03783254425021895,0.2901141917151336,0.026957929727151563,0.06953119021884664,0.12677042427434487,0.018522285944797615,0.15195926679486713,0.245088884434218,0.040194227361375665,0.18136643377850672,0.17491635719797094,0.23177211724498265,0.028279002881210505,0.010177697101080354,0.16149237457716775,0.020829031703611157,0.13305489896452055,0.03670501378461799,0.04308829146872395,0.06751685015193785,0.0047364222770115505,0.052352045480628634,0.010526256437418387,0.046600675167958974,0.14113009416631941,0.016772764826258474,0.0014253305594071107,0.13612811468872255,40.0,8.0,0.0,41.0,0.0,39.0
b3008,metC,0.14207529722089765,0.28104120628956447,0.18196137114994687,0.0628320534601878,0.14859875944201406,0.13609290225557089,0.16026350111635926,0.0823066018725256,0.1452513997740282,0.06007814587200038,0.08366942821503286,0.08665764943553646,0.10417494843756596,0.30219277038706915,0.06792996339436781,0.06824862399750704,0.13672055729584728,0.061354186684514235,0.13224643043752743,0.03780799558398129,0.062095245557779656,0.09598187092596863,0.06819860251601303,0.01831578418025129,0.05038395738187625,0.030083109992151493,0.17366983846711703,0.060003608747745976,0.0015281941877980953,0.18378596756609797,43.333333333333336,7.0,0.0,42.0,0.0,40.0
b0004,thrC,0.14014717612007746,0.02764618376903872,0.060970493457702855,0.06416171142384837,0.28655580395084906,0.006996456152000791,0.020705378459976633,0.05417406572711951,0.008193782905072458,0.053901659408993864,0.1369695170626643,0.07121260532717712,0.03115568660983389,0.22527781130246086,0.25629890524555043,0.20194894714638228,0.11320837318235245,0.11405018286564007,0.02762780004057488,0.07076413833085997,0.09779339968212106,0.16687275431762102,0.5771985109114937,0.3708446680784871,0.3643867336445683,0.3322518909098078,0.23668578243802926,0.20189404212607015,0.2651161819799695,0.27169879864195473,56.666666666666664,6.0,3.3333333333333335,6.0,0.0,41.0
