Environment,Species,Pair,N,C,Aux1,Aux2,Mean,SEM,mono_aux1,Aux_OD_for_norm_mean1,Aux_OD_for_norm_sem1,mono_aux2,Aux_OD_for_norm_mean2,Aux_OD_for_norm_sem2,Auxs_growth_wo_AA,Norm_mean,Norm_sem,NS,CS,WT_mean,WT_sem,M_mean,M_sem,F_mean,F_sem,R_mean,R_sem,C_mean,C_sem,S_mean,S_sem,L_mean,L_sem,max_aux_mean,max_aux_sem,min_aux_mean,min_aux_sem
AmSu + NoC,Ec,C+C,AmSu,NoC,C,C,0.005,0.0,C,0.005,0.0,C,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.005,0.0,0.005,0.0
AmSu + NoC,Ec,F+C,AmSu,NoC,F,C,0.005,0.0,F,0.005,0.0,C,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.0075,0.0018211717839530315,0.005,0.0
AmSu + NoC,Ec,M+C,AmSu,NoC,M,C,0.005,0.0,M,0.005,0.0,C,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.005,0.0,0.005,0.0
AmSu + NoC,Ec,R+C,AmSu,NoC,R,C,0.005,0.0,R,0.005,0.0,C,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.0105,0.004924428900898053,0.005,0.0
AmSu + NoC,Ec,F+F,AmSu,NoC,F,F,0.005,0.0,F,0.005,0.0,F,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.0075,0.0018211717839530315,0.0075,0.0018211717839530315
AmSu + NoC,Ec,M+F,AmSu,NoC,M,F,0.01,0.004611579628139003,M,0.005,0.0,F,0.005,0.0,0.01,0.005,0.004611579628139003,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.0075,0.0018211717839530315,0.005,0.0
AmSu + NoC,Ec,C+L,AmSu,NoC,C,L,0.005,0.0,C,0.005,0.0,L,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.005,0.0,0.005,0.0
AmSu + NoC,Ec,F+L,AmSu,NoC,F,L,0.005166666666666667,0.0001666666666666667,F,0.005,0.0,L,0.005,0.0,0.01,0.005,0.0001666666666666667,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.0075,0.0018211717839530315,0.005,0.0
AmSu + NoC,Ec,L+L,AmSu,NoC,L,L,0.005,0.0,L,0.005,0.0,L,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.005,0.0,0.005,0.0
AmSu + NoC,Ec,M+L,AmSu,NoC,M,L,0.005,0.0,M,0.005,0.0,L,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.005,0.0,0.005,0.0
