fold,block,repeat,rmse_increase,base_rmse,rmse_perm,n_test
5,AA requirements,9,0.0032577701737661474,0.04742431530546852,0.05068208547923467,90
6,Auxotroph type,0,0.019716572836016258,0.017083232776288045,0.0367998056123043,80
6,Auxotroph type,1,0.019421120946739964,0.017083232776288045,0.03650435372302801,80
6,Auxotroph type,2,0.012955229621977232,0.017083232776288045,0.030038462398265277,80
6,Auxotroph type,3,0.011314458972466485,0.017083232776288045,0.02839769174875453,80
6,Auxotroph type,4,0.020638952701392037,0.017083232776288045,0.03772218547768008,80
6,Auxotroph type,5,0.019184953227030156,0.017083232776288045,0.0362681860033182,80
6,Auxotroph type,6,0.019402859116107375,0.017083232776288045,0.03648609189239542,80
6,Auxotroph type,7,0.020295708994678273,0.017083232776288045,0.03737894177096632,80
6,Auxotroph type,8,0.017063163832049935,0.017083232776288045,0.03414639660833798,80
6,Auxotroph type,9,0.011721874501780038,0.017083232776288045,0.028805107278068082,80
6,Prototroph growth,0,0.006506103772916997,0.017083232776288045,0.02358933654920504,80
6,Prototroph growth,1,0.00305881961382283,0.017083232776288045,0.020142052390110875,80
6,Prototroph growth,2,0.003103332986798553,0.017083232776288045,0.020186565763086597,80
6,Prototroph growth,3,0.005236364215757187,0.017083232776288045,0.02231959699204523,80
6,Prototroph growth,4,0.004122561343787787,0.017083232776288045,0.02120579412007583,80
6,Prototroph growth,5,0.0020027622829287897,0.017083232776288045,0.019085995059216834,80
6,Prototroph growth,6,0.0016429379833839096,0.017083232776288045,0.018726170759671954,80
6,Prototroph growth,7,0.006585606831808755,0.017083232776288045,0.0236688396080968,80
6,Prototroph growth,8,0.008830327421794553,0.017083232776288045,0.025913560198082598,80
6,Prototroph growth,9,0.003141451409337439,0.017083232776288045,0.020224684185625483,80
6,Environment,0,0.009583051219838264,0.017083232776288045,0.02666628399612631,80
6,Environment,1,0.01126543364762305,0.017083232776288045,0.028348666423911095,80
6,Environment,2,0.015756340128762425,0.017083232776288045,0.03283957290505047,80
6,Environment,3,0.01138086057535661,0.017083232776288045,0.028464093351644654,80
6,Environment,4,0.011775712756336064,0.017083232776288045,0.02885894553262411,80
6,Environment,5,0.008460890918665958,0.017083232776288045,0.025544123694954003,80
6,Environment,6,0.014726722217078533,0.017083232776288045,0.03180995499336658,80
6,Environment,7,0.010325148461413632,0.017083232776288045,0.027408381237701677,80
6,Environment,8,0.01758086730490656,0.017083232776288045,0.0346641000811946,80
6,Environment,9,0.014965938809372213,0.017083232776288045,0.03204917158566026,80
6,Species,0,0.021538332720396042,0.017083232776288045,0.038621565496684086,80
6,Species,1,0.014612326355828188,0.017083232776288045,0.03169555913211623,80
6,Species,2,0.015201927181005555,0.017083232776288045,0.0322851599572936,80
6,Species,3,0.01662727802738713,0.017083232776288045,0.033710510803675174,80
6,Species,4,0.007903480430656869,0.017083232776288045,0.024986713206944913,80
6,Species,5,0.009695764763125857,0.017083232776288045,0.0267789975394139,80
6,Species,6,0.017748369501556782,0.017083232776288045,0.03483160227784483,80
6,Species,7,0.015351453534321158,0.017083232776288045,0.0324346863106092,80
6,Species,8,0.01594862823470903,0.017083232776288045,0.033031861010997074,80
6,Species,9,0.013009660625570855,0.017083232776288045,0.0300928934018589,80
6,AA requirements,0,0.0013770939291485422,0.017083232776288045,0.018460326705436587,80
6,AA requirements,1,0.0020980767622956233,0.017083232776288045,0.019181309538583668,80
6,AA requirements,2,0.0014641589863292476,0.017083232776288045,0.018547391762617292,80
6,AA requirements,3,0.001281999994746482,0.017083232776288045,0.018365232771034527,80
6,AA requirements,4,0.000828460494972566,0.017083232776288045,0.01791169327126061,80
6,AA requirements,5,0.0015871496764358096,0.017083232776288045,0.018670382452723854,80
6,AA requirements,6,0.0008645919185776285,0.017083232776288045,0.017947824694865673,80
6,AA requirements,7,0.0010318090035586307,0.017083232776288045,0.018115041779846675,80
6,AA requirements,8,0.0015030933038202993,0.017083232776288045,0.018586326080108344,80
6,AA requirements,9,0.001908681678370553,0.017083232776288045,0.018991914454658598,80
7,Auxotroph type,0,0.011739256318659297,0.02716226536153339,0.03890152168019269,57
7,Auxotroph type,1,0.01580982971390671,0.02716226536153339,0.0429720950754401,57
7,Auxotroph type,2,0.006906315864979952,0.02716226536153339,0.03406858122651334,57
7,Auxotroph type,3,0.01285367316731554,0.02716226536153339,0.04001593852884893,57
7,Auxotroph type,4,0.009189107859151072,0.02716226536153339,0.03635137322068446,57
7,Auxotroph type,5,0.009239934505470351,0.02716226536153339,0.03640219986700374,57
7,Auxotroph type,6,0.012000172706699758,0.02716226536153339,0.03916243806823315,57
7,Auxotroph type,7,0.009179815962816681,0.02716226536153339,0.03634208132435007,57
7,Auxotroph type,8,0.013158368860871468,0.02716226536153339,0.04032063422240486,57
7,Auxotroph type,9,0.016165093433094607,0.02716226536153339,0.043327358794628,57
7,Prototroph growth,0,0.004906140333963208,0.02716226536153339,0.0320684056954966,57
7,Prototroph growth,1,0.0027368130495284346,0.02716226536153339,0.029899078411061826,57
