name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
set1IT021	D-Glucuronic Acid (C)	6/19/2014 Keio_ML9_set1	21	1784382	0	1214801	1203872	210	618.5	330.18979703785	0.32315405657743	0.179934829282122	0.675160309692734	0.645434697320285	0.250380387207765	0.0642077605643975	-0.0705196282129623	2.17985316935823	TRUE
set1IT022	D-Glucuronic Acid (C)	6/19/2014 Keio_ML9_set1	22	1784485	0	1215928	1205202	209	618.5	330.554580362041	0.354732806731231	0.163578102588183	0.667923949736555	0.645434697320285	0.281127212682222	0.0337647851400492	-0.0742422388866069	1.9957555663749	TRUE
set1IT023	D-Gluconic Acid (C)	6/19/2014 Keio_ML9_set1	23	1523126	0	1035303	1026541	177.5	618.5	281.552660449808	0.324749480468869	0.167875733293721	0.672160942623027	0.645434697320285	0.231179994353792	0.0841941420999379	-0.0892243361154962	1.03929680859949	TRUE
set1IT024	D-Gluconic Acid (C)	6/19/2014 Keio_ML9_set1	24	1642757	0	1116721	1107188	198	618.5	303.671969281404	0.306251335809286	0.157939252692325	0.659509454086209	0.645434697320285	0.209516024520856	0.0481156909749274	-0.0894893157389795	0.939313197095061	TRUE
set1IT025	D-Glucose-6-Phosphate (C)	6/19/2014 Keio_ML9_set1	25	1735821	0	1180465	1170464	207.5	618.5	321.026878771256	0.349065994086084	0.152489083583024	0.666576266274808	0.645434697320285	0.218647230122226	0.0145890838356704	-0.099002222038707	1.41237955046903	TRUE
set1IT026	D-Glucose-6-Phosphate (C)	6/19/2014 Keio_ML9_set1	26	1618145	0	1099990	1090732	195	618.5	299.158529895776	0.330929834928805	0.166804883029124	0.661475394581942	0.645434697320285	0.202914789415245	0.0224917190436876	-0.101137567832603	1.40294365840577	TRUE
set1IT027	acetate (C)	6/19/2014 Keio_ML9_set1	27	1727849	0	1173818	1159930	178	618.5	318.137685134394	0.391243803817059	0.288758425341844	0.768674453893545	0.645434697320285	0.278165298297073	0.0237937864562476	-0.059755556492944	6.60124721173618	TRUE
set1IT028	acetate (C)	6/19/2014 Keio_ML9_set1	28	1626112	0	1103333	1092105	177	618.5	299.535106966539	0.395231264810357	0.263420257179644	0.736965594166207	0.645434697320285	0.27723419192747	0.0269646330661212	-0.0647559800350338	5.79592218588174	TRUE
set1IT029	Fumarate (C)	6/19/2014 Keio_ML9_set1	29	1721671	0	1158213	1134865	50	618.5	311.263027975864	0.370947272270745	0.403299246001043	0.902702798645085	0.645434697320285	0.232279211519086	0.0593795778247623	0.00986715616332181	10.5251946067026	TRUE
set1IT030	Fumarate (C)	6/19/2014 Keio_ML9_set1	30	1596625	0	1076217	1053622	49	618.5	288.980252331322	0.361755630519057	0.406080792224581	0.866733469136536	0.645434697320285	0.177539645054264	0.0494631210904202	0.00914728438199205	10.3912124641709	FALSE
set1IT031	D-Lactate (C)	6/19/2014 Keio_ML9_set1	31	1635412	0	1111906	1102276	193	618.5	302.324739440483	0.342897008468973	0.216707910802078	0.685891409571937	0.645434697320285	0.249136747144103	0.0183888381134516	-0.0724242835724727	2.18252127807892	TRUE
set1IT032	D-Lactate (C)	6/19/2014 Keio_ML9_set1	32	1550780	0	1053881	1044828	183.5	618.5	286.568294020845	0.382106039880092	0.185388629229451	0.678071905112637	0.645434697320285	0.283430868166889	0.0900890700000285	-0.0695725665233224	2.32956851195887	TRUE
set1IT033	L-Lactate (C)	6/19/2014 Keio_ML9_set1	33	1647304	0	702736	702719	0	618.5	192.736972024136	0.142945632135206	0.465180596940477	0	0.645434697320285	0.0606044102373185	-0.00202798651802076	-0.0271313405323609	6.88696083349981	FALSE
set1IT034	L-Lactate (C)	6/19/2014 Keio_ML9_set1	34	1745417	0	726290	726277	0	618.5	199.198299506308	0.115984365604233	0.426496072110914	0	0.645434697320285	0.0660016867512461	0.0027427967035176	-0.0310125774105149	15.2786128401935	FALSE
set1IT035	D,L-Lactate (C)	6/19/2014 Keio_ML9_set1	35	1617859	0	1098867	1089734	190	618.5	298.884805266045	0.340509523961029	0.16366092116053	0.654503433974233	0.645434697320285	0.252702462292332	0.0565658569531135	-0.0772516684405093	1.8976261641661	TRUE
set1IT036	D,L-Lactate (C)	6/19/2014 Keio_ML9_set1	36	1612966	0	1096348	1087150	191	618.5	298.176083379046	0.33602266156021	0.171343146662765	0.659659867998757	0.645434697320285	0.270753315330273	0.0295447924854929	-0.0730373649918191	1.99694070193208	TRUE
set1IT037	pyruvate (C)	6/19/2014 Keio_ML9_set1	37	1606732	0	1094195	1084293	192	618.5	297.392484914975	0.331411568077779	0.185547798690395	0.662965012722429	0.645434697320285	0.207839541676005	0.0491089278937727	-0.048448880075289	2.11578648896219	TRUE
